,Nod_ref,Way_Id,highway,junction,lanes,name,color,size1,size2,Lon,Lat
33,"[552870049, 49937395]",6066200,residential,,,Plaza de los Campos,#FFFFFF,medio,1,"[-3.5956315000000001, -3.5958765000000001]","[37.1724842, 37.172273600000004]"
34,"[582477794, 49943526, 1642927654, 582477616]",6066204,residential,,,Cuesta del Pescado,#FFFFFF,medio,1,"[-3.5931677000000004, -3.5938241, -3.5934726000000001, -3.5933967000000004]","[37.170119499999998, 37.1706602, 37.170933099999999, 37.170962200000005]"
35,"[49943552, 558518904, 308693457]",6066208,residential,,1.0,Calle Carrera de la Virgen,#FFFFFF,medio,1,"[-3.5982917000000003, -3.5966152999999998, -3.5960890000000001]","[37.171653799999994, 37.170002699999998, 37.169483100000001]"
36,"[581031388, 49943548, 354662177]",6066209,residential,,,Plaza de Bibataubín,#FFFFFF,medio,1,"[-3.5979247999999999, -3.5974227999999995, -3.5977351000000004]","[37.171928799999996, 37.1716494, 37.171451599999997]"
37,"[49952930, 533647915, 533642663, 1727638451, 49952938, 49952940, 1329638659, 1727638418, 49952942, 1727638422, 533642639, 2068101732, 1351212929]",6067225,pedestrian,,,Cuesta de Gomérez,#A9A9A9,peque,1,"[-3.5959214999999998, -3.5956169999999998, -3.5954152000000001, -3.5953583, -3.5949102999999996, -3.5946531000000004, -3.5944468000000001, -3.5943201, -3.5939853999999998, -3.5938846, -3.5937772000000003, -3.5934162999999999, -3.5930622000000003]","[37.176742799999992, 37.176566999999999, 37.1764467, 37.176413700000005, 37.176154100000005, 37.176074799999995, 37.176058099999999, 37.176078000000004, 37.176130499999999, 37.176134900000001, 37.176139500000005, 37.1761348, 37.176087799999998]"
38,"[1329638688, 49953139, 1519470261, 4213260355, 4213260356, 582471198, 582471190]",6067230,residential,,,Calle Cuartelillo,#FFFFFF,medio,1,"[-3.5918744, -3.5917633999999996, -3.5914976000000003, -3.5914782999999995, -3.5913816000000001, -3.5913665999999997, -3.5911143999999999]","[37.172625700000005, 37.172593299999996, 37.172350399999999, 37.172332700000005, 37.172243700000003, 37.172229799999997, 37.172015600000002]"
39,"[49952932, 49953153]",6067232,residential,,,Calle Cementerio de Santa Escolástica,#FFFFFF,medio,1,"[-3.5952845, -3.5949315000000004]","[37.174572799999993, 37.174850200000002]"
40,"[49953153, 1694984314, 1694984308, 1694984307]",6067233,residential,,,Cuesta de Rodrigo del Campo,#FFFFFF,medio,1,"[-3.5949315000000004, -3.5949248999999996, -3.5947571000000003, -3.5947254000000002]","[37.174850200000002, 37.174810200000003, 37.174540399999998, 37.174494099999997]"
41,"[1694984307, 49953150, 1695966399, 1694984306, 49953146]",6067234,residential,,,Placeta del Hospicio Viejo,#FFFFFF,medio,1,"[-3.5947254000000002, -3.5946705999999997, -3.5945281000000002, -3.5943877, -3.5941862999999996]","[37.174494099999997, 37.174404899999999, 37.174448600000005, 37.174491700000004, 37.174552399999996]"
42,"[49953146, 1329638679, 49953143]",6067235,residential,,,Calle Damasqueros,#FFFFFF,medio,1,"[-3.5941862999999996, -3.5936117999999997, -3.5933563999999998]","[37.174552399999996, 37.174075399999992, 37.173755100000001]"
