,Nod_Id,Nod_Lat,Nod_Lon,Nod_Highway
80476,2202300233,37.1878606,-3.6063731,0
80477,2202300236,37.1878624,-3.6055152,0
80478,2202300239,37.1878629,-3.6045758,0
80479,2202300241,37.1878640,-3.6053415,0
80480,2202300244,37.1878640,-3.6054328,0
80481,2202300248,37.1878649,-3.6065632,0
80482,2202300251,37.1878669,-3.6057073,0
80483,2202300254,37.1878685,-3.6063638,0
80484,2202300257,37.1878716,-3.6054437,0
80485,2202300260,37.1878721,-3.6055031,0
80486,2202300263,37.1878739,-3.6066124,0
80487,2202300266,37.1878740,-3.6056275,0
80488,2202300269,37.1878741,-3.6063673,0
80489,2202300272,37.1878750,-3.6056984,0
80490,2202300275,37.1878772,-3.6054584,0
80491,2202300276,37.1878772,-3.6054890,0
80492,2202300277,37.1878792,-3.6054724,0
80493,2202300278,37.1878802,-3.6053607,0
80494,2202300279,37.1878810,-3.6063677,0
80495,2202300280,37.1878816,-3.6056875,0
80496,2202300281,37.1878822,-3.6056422,0
80497,2202300282,37.1878852,-3.6056728,0
80498,2202300285,37.1878857,-3.6056594,0
80499,2202300286,37.1878882,-3.6063650,0
80500,2202300289,37.1878894,-3.6053498,0
80501,2202300292,37.1878953,-3.6046411,0
80502,2202300295,37.1878986,-3.6062523,0
80503,2202300298,37.1879028,-3.6046325,0
80504,2202300301,37.1879106,-3.6062682,0
80505,2202300304,37.1879118,-3.6055867,0
80506,2202300307,37.1879192,-3.6062299,0
80507,2202300310,37.1879347,-3.6054156,0
80508,2202300313,37.1879377,-3.6047021,0
80509,2202300316,37.1879385,-3.6063085,0
80510,2202300319,37.1879393,-3.6068088,0
80511,2202300322,37.1879396,-3.6062871,0
80512,2202300325,37.1879400,-3.6067588,0
80513,2202300328,37.1879427,-3.6054056,0
80514,2202300331,37.1879431,-3.6063021,0
80515,2202300334,37.1879436,-3.6062947,0
80516,2202300355,37.1879497,-3.6062759,0
80517,2202300358,37.1879521,-3.6046845,0
80518,2202300361,37.1879583,-3.6070367,crossing
80519,2202300366,37.1879772,-3.6050142,0
80520,2202300367,37.1879782,-3.6065204,0
80521,2202300369,37.1879826,-3.6050078,0
80522,2202300371,37.1879875,-3.6065104,0
80523,2202300372,37.1879753,-3.6072394,0
80524,2202300373,37.1879934,-3.6053536,0
80525,2202300374,37.1879982,-3.6047880,0
80526,2202300375,37.1880014,-3.6053441,0
80527,2202300376,37.1880448,-3.6071160,0
80528,2202300377,37.1880133,-3.6047725,0
80529,2202300378,37.1879657,-3.6073319,0
80530,2202300380,37.1880325,-3.6055851,0
80531,2202300382,37.1880392,-3.6048472,0
80532,2202300385,37.1880392,-3.6064556,0
80533,2202300388,37.1880409,-3.6055681,0
80534,2202300391,37.1880416,-3.6070335,0
80535,2202300394,37.1880420,-3.6055605,0
80536,2202300396,37.1880421,-3.6055755,0
80537,2202300398,37.1880449,-3.6055546,0
80538,2202300400,37.1880453,-3.6048377,0
80539,2202300402,37.1880469,-3.6064476,0
80540,2202300404,37.1880559,-3.6066333,0
80541,2202300406,37.1880666,-3.6056311,0
80542,2202300409,37.1880742,-3.6055947,0
80543,2202300411,37.1880746,-3.6066594,0
80544,2202300413,37.1880849,-3.6056094,0
80545,2202300415,37.1880870,-3.6048973,0
80546,2202300418,37.1881068,-3.6070892,0
80547,2202300420,37.1880917,-3.6048910,0
80548,2202300422,37.1880938,-3.6054981,0
80549,2202300425,37.1880942,-3.6065153,0
80550,2202300427,37.1881002,-3.6070191,0
80551,2202300429,37.1881017,-3.6054919,0
80552,2202300431,37.1881018,-3.6065110,0
