,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
2115,"['1040225185', '3541189559', '3541189560', '1040225876', '1008502982', '1008501339', '1040226622', '1008502268']","{'name': 'Calle Azorín', 'highway': 'residential'}",86704417,,,,,,,,,,,residential,,,,,Calle Azorín,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2116,"['1431966811', '1008502005']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704418,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2118,"['1008500313', '1008502499']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704427,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2119,"['1008502080', '1008500359', '1008502290', '1008500634']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704429,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2120,"['1008501342', '1008502638', '1008501600', '1008502985', '1008502020', '1008501795', '1008502326', '626868246']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704434,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2121,"['1008502479', '1008501297', '1008502326']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704437,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2122,"['1008500399', '1008501790', '1008500686', '1008502102']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704439,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2123,"['1008502973', '1431945832', '1008500837', '1008503358', '1008501545', '1008500516']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704441,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2124,"['1008503419', '1008503387', '1008502199']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704443,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2125,"['1008502320', '626868465', '1008500399', '1008500927', '1008502401', '1432066137', '1432066136', '1008502653', '882456624', '1431934987', '1008502452', '882455661', '1008502160', '626868936', '325194269', '1040225595']","{'name': 'Camino de Albolote', 'highway': 'tertiary', 'ref': 'GR-3417', 'oneway': 'yes'}",86704448,,,,,,,,,,,tertiary,,,,,Camino de Albolote,,yes,,,,GR-3417,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2126,"['1008500997', '1008501278', '1008501507']","{'name': 'Calle de Santa Candelaria', 'highway': 'residential', 'source:date': '2008', 'source': 'PNOA'}",86704452,,,,,,,,,,,residential,,,,,Calle de Santa Candelaria,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2127,"['1008503232', '1431945848', '1008501651', '1008501364']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704459,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2128,"['1008503432', '1431966814', '1008502990', '1008501539', '1008502199', '1008502889']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704460,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2129,"['1008502931', '1008500378', '1008501913']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704463,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2130,"['1842477032', '1842477029', '1008501324', '1008500457', '1008501933', '1008502102', '1008501371', '1008502700', '1008501658', '1008502589']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704464,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2131,"['1008500689', '1008502112', '1008500516', '1008503026', '1431945834', '1008502043', '1008501076', '1431945827', '1008500574']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704467,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2132,"['1008503358', '1008501134', '1008500487']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704472,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2133,"['1008501026', '1008502317']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704475,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2134,"['1008502448', '1008501457', '1008502832', '1008501795', '1008500470', '1008501963', '1008500777', '1008502167', '1432066030', '1008501115', '1008502390']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704477,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2135,"['1008501973', '1041596893']","{'source:date': '2008', 'highway': 'residential', 'source': 'Yahoo;PNOA', 'oneway': 'no'}",86704481,,,,,,,,,,,residential,,,,,,,no,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2136,"['1008501072', '1008501337', '1008502005']","{'name': 'Calle Santa Rosa', 'source:date': '2008', 'source': 'PNOA', 'maxspeed': '30', 'highway': 'residential', 'oneway': 'yes'}",86704483,,,,,,,,,,,residential,,,,,Calle Santa Rosa,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2138,"['1429801682', '1011089379', '1011089548', '1011089506', '1011089461', '1011089433', '1011089400', '1011089464', '1011089435', '1011089339', '1788709419']","{'highway': 'residential', 'oneway': 'yes'}",86885183,,,,,,,,,,,residential,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2139,"['1011089560', '1011089578']","{'layer': '1', 'source:date': '2008', 'highway': 'footway', 'surface': 'paved', 'bridge': 'yes'}",86885188,,,,,,yes,,,,,footway,,,1.0,,,,,,,,,,,paved,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2141,"['324568554', '1011089571']","{'highway': 'residential', 'bridge': 'yes', 'oneway': 'no'}",86885209,,,,,,yes,,,,,residential,,,,,,,no,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2146,"['1011089578', '1011089295', '1011089336', '1011089361', '1011089421', '1011089397', '1011089430', '1011089232', '1429801686']","{'highway': 'residential', 'oneway': 'yes'}",86885282,,,,,,,,,,,residential,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2147,"['1011904758', '1011906229']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977294,,,,,,,,,,,residential,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2148,"['1011905332', '1011905170', '1011905871', '4173692069', '1011905655', '1011904779', '1011905487', '1011906176']","{'name': 'Avenida de la Investigación', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977295,,,,,,,,,,,residential,,,,,Avenida de la Investigación,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2149,"['1268360160', '1011906013', '1011905180', '1011905874', '1011905662', '1011904791', '1011905500', '1011906187', '1011905935', '1011905100', '1011905789', '1011904943', '1011904697', '1011904828']","{'name': 'Avenida de la Ilustración', 'highway': 'tertiary', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977297,,,,,,,,,,,tertiary,,,,,Avenida de la Ilustración,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2151,"['1012789026', '1011904885', '3692466069', '1011905602', '1011905693']","{'name': 'Calle José de Echegaray', 'highway': 'residential', 'oneway': 'yes'}",86977299,,,,,,,,,,,residential,,,,,Calle José de Echegaray,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2152,"['1011906045', '1011905209', '1011905902', '1011905678', '1011904815', '1011905522', '1011906208', '1011905958', '1012789829', '1011905128', '1011905811', '1011904970', '1011904726', '1011905424', '1011906113', '1011905263', '1011905026', '1268360141']","{'name': 'Avenida de la Ilustración', 'highway': 'tertiary', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977300,,,,,,,,,,,tertiary,,,,,Avenida de la Ilustración,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
