,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
2068,"['254188647', '1005550686', '1005550804', '1005550701']",{'highway': 'footway'},86505602,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2069,"['295148492', '1005550648', '1005550809', '1005550777', '1005550710', '1005550797']",{'highway': 'footway'},86505603,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2070,"['2080585574', '1005550719', '1005550779']",{'highway': 'footway'},86505607,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2071,"['1005550673', '1005550746', '1005550676', '1005550802', '1005550784', '1005550817', '1005550789', '1005550713', '1005550651', '1005550641', '1005550794', '1005550752', '1005550678', '1005550791', '1005550760', '1321783037', '1005550673']","{'highway': 'pedestrian', 'area': 'yes'}",86505608,,,yes,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
2073,"['620816375', '1007881928', '1072863276', '1007881897', '1072863286', '1449409773', '1007881895', '1007881962', '1449409770', '1007881972', '1421161498', '1072863278', '1007881967', '1007881924', '1007881870', '1007881969', '1072863273', '1007881925', '1072863284', '1421161460', '620816375']","{'highway': 'primary', 'junction': 'roundabout'}",86647939,,,,,,,,,,,primary,roundabout,,,,,,,,,,,,,,,,"['#FFA07A', 'grande', 1]",#FFA07A,grande,1
2074,"['354662231', '4353292277', '4353292505', '4353292529', '4353292552', '4353292584', '4353292614', '4353292682', '1007881974', '1072863284']",{'highway': 'pedestrian'},86647941,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
2075,"['1008500791', '1008501134', '1008502135', '1008501076', '1008501715', '1008501913', '1008500631', '1008502075']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704299,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2076,"['1008501921', '1008502998', '1041596883', '1008502329', '1008501311', '1008502589', '1008501536', '626868385', '1432066120', '1008502485', '1008500918', '1008502735', '1008502878', '1008501235', '1008503223', '1008500988']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704304,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2077,"['1008501780', '1008501726', '1008500682']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704308,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2078,"['1008502665', '1008501858', '1008500729', '1008502138', '1431966814', '1008501324']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704315,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2079,"['1008502396', '1008501852']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704317,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2080,"['1008502586', '1008501026']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704319,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2081,"['1008500927', '1008502881', '1008502353', '1041596883']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704321,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2082,"['1008503373', '1348248024', '1008501464', '1008501469', '1348247895', '1008502009', '1008500628', '1842477040', '1008500523', '1348247866', '1008501266', '1348247870', '1008501586', '1348247868', '1008501361', '1008502258', '1008502320', '1008501044', '1008503373']","{'highway': 'tertiary', 'junction': 'roundabout'}",86704322,,,,,,,,,,,tertiary,roundabout,,,,,,,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2083,"['1449443806', '1008501719', '1008501405', '1008502841', '1008500994', '1008501921', '1008502152', '1008501429', '1008501184', '1008502401']","{'name': 'Calle del Horno', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86704325,,,,,,,,,,,residential,,,,,Calle del Horno,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2084,"['1008503379', '1008501590', '1008503159', '1008502194', '1008501180']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704328,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2085,"['1008502106', '1008500402', '1008502326']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704330,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2086,"['1008502261', '1008502528', '1432066135', '1432066181', '1432066146', '1432066151', '1008501990']","{'name': 'Calle Real', 'bicycle': 'no', 'source:date': '2008', 'foot': 'yes', 'source': 'PNOA', 'surface': 'paving_stones', 'highway': 'residential'}",86704332,,,,,no,,,,,,residential,,,,,Calle Real,,,,,,,,,paving_stones,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2087,"['1041596897', '1432066170', '1041596294', '1008500405', '1432066140', '1008501827']","{'name': 'Calle de Cuba', 'highway': 'residential', 'source:date': '2008', 'source': 'PNOA'}",86704337,,,,,,,,,,,residential,,,,,Calle de Cuba,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2088,"['1008500994', '1008502282', '1008501275', '1008502542', '1008501502', '1008502935', '1008501531', '1008500473', '1008501968']","{'name': 'Calle Caniche', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86704341,,,,,,,,,,,residential,,,,,Calle Caniche,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2089,"['1008501978', '1008501852', '1008503305']","{'name': 'Calle de Antonio Tinas', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86704346,,,,,,,,,,,residential,,,,,Calle de Antonio Tinas,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2090,"['1008500624', '1008502523', '1008501734', '1008503116']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704348,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2091,"['1008501539', '1431966812', '1008501933']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704349,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2092,"['1008500683', '1008501432']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704352,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2093,"['1008501271', '1008502539']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704353,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2094,"['1008501528', '1008500411', '1008501180', '1008501705', '1008500739', '1008503056', '1008502071', '1008500333', '1008502265']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704355,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2095,"['1008502841', '1008503217', '1008502438', '1008501177', '1008502191', '1008500856', '1008502005']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704360,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2096,"['1008501246', '1008503238']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704362,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2097,"['1008501465', '1008502452']","{'name': 'Calle Montilla', 'source:date': '2008', 'source': 'PNOA', 'maxspeed': '30', 'highway': 'residential', 'oneway': 'yes'}",86704364,,,,,,,,,,,residential,,,,,Calle Montilla,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2098,"['1008502156', '1008501087', '1008502360', '1008501365', '1008502735']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704373,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2099,"['626868516', '1008501507', '1008503177']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704374,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2100,"['1008502108', '1973677657', '1008501030', '1008502041', '1008500931', '1040225072', '1008502229', '1008500540', '1040225902', '1008502453', '1008503312', '1008500793', '1008502178', '1008500484', '1008501973']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA', 'oneway': 'yes'}",86704377,,,,,,,,,,,residential,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2101,"['626868493', '1008500744']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704387,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2102,"['1008502434', '1008501419']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704390,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2103,"['1008500739', '1008501200']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704391,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2104,"['1008502770', '1008503381', '1008501595', '1008500535', '1008502017', '1008500860', '1008502448', '1008502196', '626868253']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704394,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2105,"['1008502152', '1008502353']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704395,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2106,"['1008501662', '1008503039']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704398,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2107,"['1008501925', '1008501203', '4016874658', '1431945836']","{'name': 'Calle Fray Leopoldo de Alpandeire', 'highway': 'residential'}",86704399,,,,,,,,,,,residential,,,,,Calle Fray Leopoldo de Alpandeire,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2108,"['1008502723', '4016874660', '1008502605', '1008501131', '1008503090', '1008501399']","{'name': 'Calle Humanidad', 'highway': 'residential'}",86704403,,,,,,,,,,,residential,,,,,Calle Humanidad,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2109,"['1008501432', '1040225663', '1008500378']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704404,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2110,"['1008503175', '1008502834']","{'name': 'Calle La Rioja', 'source:date': '2008', 'source': 'PNOA', 'maxspeed': '30', 'highway': 'residential', 'oneway': 'yes'}",86704407,,,,,,,,,,,residential,,,,,Calle La Rioja,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2111,"['1008500721', '1008501846', '1008500412', '1008501463']","{'name': 'Calle Boabdil', 'source:date': '2008', 'source': 'PNOA', 'maxspeed': '30', 'highway': 'residential', 'oneway': 'yes'}",86704409,,,,,,,,,,,residential,,,,,Calle Boabdil,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2112,"['1008503061', '1008502396']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704411,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2113,"['1008500793', '1008502770', '1008501137', '1008501973']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704413,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2114,"['1008500837', '1008500791', '1008500477']","{'source:date': '2008', 'highway': 'residential', 'source': 'PNOA'}",86704415,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
