,Way_Id,Nod_ref,Tags
91,9779634,"['77756881', '1700802266', '2074362675', '1700802244', '306522069', '1700802116', '306522070']","{'name': 'Avenida Capitán Moreno', 'highway': 'residential', 'oneway': 'yes'}"
92,9779635,"['306522083', '1700802117', '306522019', '2074380518', '1709795955', '77756901']","{'name': 'Calle Acera de San Ildefonso', 'highway': 'residential', 'oneway': 'yes'}"
93,9779640,"['77756964', '1732755345', '1384731641', '1384731902', '582490505', '1384731796', '1384731980', '77756970']","{'name': 'Calle San Ambrosio', 'highway': 'residential'}"
94,9779641,"['77756970', '77756982']","{'name': 'Calle San Fernando', 'highway': 'residential'}"
95,9832715,"['185927197', '1654315223', '61366602', '61366604']","{'name': 'Calle Abanilla', 'highway': 'residential', 'oneway': 'yes'}"
96,9832718,"['21293463', '61366604']","{'name': 'Calle Pizarro Cenjor', 'highway': 'residential', 'source': 'Yahoo! aerial imagery', 'oneway': 'no'}"
97,9834999,"['49937441', '1203472540', '1203472756', '78640663', '614596832']","{'name': 'Cuesta de San Antonio', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'no'}"
98,9835001,"['1203472591', '61369769', '617378463', '617617456', '78640877', '1203472469']","{'maxspeed': '30', 'highway': 'secondary', 'junction': 'roundabout'}"
99,9835007,"['1203472591', '1203472867', '1203472927', '1187111121', '1203472714', '617617455']","{'name': 'Carretera de Murcia', 'source:date': '2008', 'source': 'PNOA', 'highway': 'secondary', 'lanes': '1', 'oneway': 'yes'}"
100,9835011,"['1203472327', '1187111172', '1203472396', '1187111117', '1187111199', '1203472472', '617617458']","{'name': 'Carretera de Murcia', 'source:date': '2008', 'source': 'PNOA', 'highway': 'secondary', 'lanes': '1', 'oneway': 'yes'}"
101,9835015,"['1755892533', '1384732863', '582490507', '1384732629', '1384732122', '78641128']","{'name': 'Calle San Fermín', 'highway': 'residential'}"
102,9835018,"['558846282', '1755892497', '1755892509', '78641128', '265744852', '82771424', '77756970']","{'name': 'Calle San Fernando', 'highway': 'residential', 'oneway': 'yes'}"
103,9835036,"['78641299', '1968421806', '1423279481', '1384805388', '1384805018', '573536717', '1692121846']","{'name': 'Avenida Luis Miranda Dávalos', 'highway': 'tertiary', 'oneway': 'yes'}"
104,9835059,"['1692121846', '573536719', '3406057900', '3406057899', '554867511']","{'name': 'Avenida de la Argentinita', 'highway': 'tertiary', 'oneway': 'yes'}"
105,9835080,"['484568576', '1757388772', '61366570']","{'highway': 'residential', 'oneway': 'yes'}"
106,9835085,"['82771422', '1384731705', '1384732127', '1384732087', '582490531', '1384732192', '1384731886', '1681780697', '77756982']","{'name': 'Calle San Rómulo', 'highway': 'residential'}"
107,9835089,"['308473368', '1820004893', '1820004930']","{'maxspeed': '80', 'ref': 'A-92G', 'name': 'Avenida de Andalucía (Cerrillo)', 'layer': '0', 'highway': 'trunk', 'source': 'datos oficiales', 'lanes': '2', 'oneway': 'yes'}"
108,9838451,"['78695242', '1384805133', '290918342', '551498450', '61366582']","{'highway': 'secondary', 'junction': 'roundabout'}"
109,9861688,"['21293487', '1033185281', '79459524']","{'name': 'Paseo de Cartuja', 'highway': 'tertiary', 'oneway': 'yes'}"
110,9861896,"['1025639665', '1025640096', '1025639458', '1025639581', '1025639568', '1025639705', '1025640009', '1025640202', '1025640046', '484584013', '484584708', '484617832', '484589806', '1613218881', '1025639975']","{'name': 'Calle Casería del Cerro', 'highway': 'tertiary', 'oneway': 'yes'}"
111,9884824,"['61356194', '2216451095', '2216451097', '983525395', '80041603', '80041609']","{'highway': 'trunk_link', 'lanes': '1', 'oneway': 'yes'}"
112,9884825,"['80041728', '1470631808', '881028680', '1470631802', '80041721', '1470631809', '881029129', '1470631810', '1470631807', '80041700', '1470631789', '1470631787', '881028843', '1470631788', '80041743', '1470631790', '1470631782', '80041728']","{'highway': 'tertiary', 'ref': 'GR-3418', 'junction': 'roundabout', 'source': 'datos oficiales'}"
113,9884826,"['265746031', '1831980068', '1502984366', '80041656', '1502984345', '1502984340', '1502984338', '1502984335', '80041659', '80041662', '1502984333', '1613232728', '1613232727', '80041663', '1613232726', '1613232725', '80041667', '1831992537', '1831992534', '1613232724', '1613232723', '1613232722', '80041671', '1613232721', '1613232720', '1613232719', '80041675', '1613232718', '1613232717', '1613232716', '80041680', '1613232715', '1613232714', '1613232713', '1613232712', '1613232711', '80041688', '80041721']","{'name': 'Camino de Purchil (Bobadilla)', 'highway': 'tertiary', 'ref': 'GR-3418', 'source': 'datos oficiales'}"
114,9884827,"['80041743', '581055770']","{'highway': 'tertiary', 'ref': 'GR-3418', 'source': 'datos oficiales'}"
